,sensor_loc,MAPE,Observability
0,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18)",204.2879,20.503888888888888
1,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 19)",126.9125,20.781111111111112
2,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 20)",101.2038,20.59888888888889
3,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 21)",193.2568,20.475
4,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19)",135.9877,20.273611111111112
5,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 20)",110.279,20.091388888888886
6,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 21)",196.2603,19.91277777777778
7,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 19, 20)",36.2989,19.759444444444448
8,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 19, 21)",120.1273,20.304166666666667
9,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 20, 21)",94.4186,20.121944444444445
10,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19)",88.9247,20.361111111111114
11,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 20)",107.0248,20.60972222222222
12,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 21)",165.2518,19.876666666666665
13,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 19, 20)",29.6903,20.886944444444445
14,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 19, 21)",84.5948,20.332222222222224
15,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 20, 21)",97.5107,20.58083333333333
16,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 18, 19, 20)",31.1141,20.307222222222222
17,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 18, 19, 21)",61.8792,19.916666666666664
18,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 18, 20, 21)",93.52,19.959444444444443
19,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 19, 20, 21)",17.2011,20.303888888888892
20,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19)",63.3257,20.17
21,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20)",101.2947,20.501666666666665
22,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 21)",133.6191,19.685555555555556
23,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 19, 20)",23.7449,20.77888888888889
24,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 19, 21)",53.7068,20.141111111111112
25,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 20, 21)",90.271,20.47277777777778
26,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 18, 19, 20)",32.7504,20.271388888888886
27,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 18, 19, 21)",51.1164,19.57888888888889
28,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 18, 20, 21)",93.1096,19.910555555555554
29,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 19, 20, 21)",16.7574,20.301944444444445
30,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 17, 18, 19, 20)",31.4579,20.52
31,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 17, 18, 19, 21)",109.0828,18.960555555555555
32,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 17, 18, 20, 21)",98.4357,20.035555555555558
33,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 17, 19, 20, 21)",21.9421,20.49111111111111
34,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 18, 19, 20, 21)",15.6514,19.940833333333334
35,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19)",126.4179,20.725
36,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 20)",99.824,20.236666666666665
37,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 21)",197.2895,19.934444444444445
38,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 19, 20)",23.4257,20.82
39,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 19, 21)",115.3915,20.69611111111111
40,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 20, 21)",90.5974,20.20777777777778
41,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 18, 19, 20)",32.7714,20.3125
42,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 18, 19, 21)",118.7493,20.13388888888889
43,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 18, 20, 21)",89.5497,19.645555555555553
44,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 19, 20, 21)",16.9331,20.343055555555555
45,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 17, 18, 19, 20)",29.2628,20.830833333333334
46,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 17, 18, 19, 21)",86.4448,20.09777777777778
47,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 17, 18, 20, 21)",106.606,20.040277777777778
48,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 17, 19, 20, 21)",19.8546,20.801944444444445
49,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 18, 19, 20, 21)",16.0216,20.180555555555557
50,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 16, 17, 18, 19, 20)",23.4465,20.72277777777778
51,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 16, 17, 18, 19, 21)",53.7388,19.906666666666666
52,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 16, 17, 18, 20, 21)",93.0459,19.932222222222222
53,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 16, 17, 19, 20, 21)",12.4476,20.693888888888893
54,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 16, 18, 19, 20, 21)",15.5253,20.131666666666668
55,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 17, 18, 19, 20, 21)",20.5942,20.256666666666668
56,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19)",126.8872,20.545833333333334
57,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 20)",53.7539,19.988055555555555
58,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 21)",145.4758,19.685833333333335
59,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 19, 20)",23.8031,20.640833333333333
60,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 19, 21)",115.8561,20.516944444444444
61,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 20, 21)",42.7228,19.959166666666665
62,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 18, 19, 20)",32.8783,20.133333333333333
63,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 18, 19, 21)",118.8596,19.954722222222223
64,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 18, 20, 21)",45.7262,19.396944444444443
65,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 19, 20, 21)",17.0179,20.16388888888889
66,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 17, 18, 19, 20)",29.6241,20.651666666666667
67,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 17, 18, 19, 21)",87.8511,19.91861111111111
68,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 17, 18, 20, 21)",49.184,19.791666666666664
69,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 17, 19, 20, 21)",20.11,20.622777777777777
70,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 18, 19, 20, 21)",16.1193,20.00138888888889
71,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14, 16, 17, 18, 19, 20)",23.894,20.54361111111111
72,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14, 16, 17, 18, 19, 21)",56.2184,19.7275
73,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14, 16, 17, 18, 20, 21)",42.3758,19.683611111111112
74,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14, 16, 17, 19, 20, 21)",12.8703,20.514722222222225
75,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14, 16, 18, 19, 20, 21)",15.7089,19.9525
76,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14, 17, 18, 19, 20, 21)",21.035,20.0775
77,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 15, 16, 17, 18, 19, 20)",23.2137,20.333333333333332
78,"(0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 15, 16, 17, 18, 19, 21)",115.0302,20.031111111111112
