1683579616,691,21,"38.509635, -121.780871","38.514404, -121.775788"
1683579617,1161,36,"38.514404, -121.775788","38.522413, -121.767228"
1683579617,988,30,"38.522413, -121.767228","38.528088, -121.758611"
1683579617,663,20,"38.528088, -121.758611","38.529956, -121.751388"
1683579618,404,12,"38.529956, -121.751388","38.531332, -121.747098"
1683579618,268,8,"38.531332, -121.747098","38.532683, -121.744549"
1683579618,432,13,"38.532683, -121.744549","38.535402, -121.741005"
1683579618,561,18,"38.535402, -121.741005","38.539105, -121.736624"
1683579619,545,17,"38.539105, -121.736624","38.542667, -121.73232"
1683579619,1348,42,"38.542667, -121.73232","38.54744, -121.718258"
1683579619,1290,40,"38.54744, -121.718258","38.550683, -121.70403"
1683579620,478,15,"38.550683, -121.70403","38.551818, -121.698729"
1683579620,413,13,"38.551818, -121.698729","38.552541, -121.694078"
1683579620,301,9,"38.552541, -121.694078","38.553512, -121.690851"
1683579620,1054,35,"38.553512, -121.690851","38.556275, -121.679269"
1683579621,1053,35,"38.556275, -121.679269","38.5587, -121.667568"
1683579621,1040,35,"38.5587, -121.667568","38.56034, -121.655798"
1683579621,859,29,"38.56034, -121.655798","38.561985, -121.646148"
1683579621,443,15,"38.561985, -121.646148","38.562871, -121.641182"
1683579622,1504,52,"38.562871, -121.641182","38.565902, -121.624324"
1683579622,1630,56,"38.565902, -121.624324","38.56916, -121.60605"
1683579622,1829,58,"38.514404, -121.775788","38.528722, -121.768588"
1683579623,719,30,"38.522413, -121.767228","38.526354, -121.760764"
1683579623,722,24,"38.524849, -121.765423","38.528088, -121.758611"
1683579623,399,18,"38.528611, -121.755568","38.529956, -121.751388"
1683579623,401,30,"38.539105, -121.736624","38.540242, -121.733348"
1683579624,311,26,"38.540071, -121.733228","38.542667, -121.73232"
1683579624,335,25,"38.551818, -121.698729","38.550892, -121.695929"
1683579624,338,25,"38.551475, -121.694631","38.552541, -121.694078"
1683579624,400,26,"38.551346, -121.694255","38.553512, -121.690851"
1683579625,306,19,"38.561985, -121.646148","38.561633, -121.643027"
1683579625,226,16,"38.561638, -121.642969","38.562871, -121.641182"
1683580216,691,21,"38.509635, -121.780871","38.514404, -121.775788"
1683580217,1161,36,"38.514404, -121.775788","38.522413, -121.767228"
1683580217,988,30,"38.522413, -121.767228","38.528088, -121.758611"
1683580217,663,21,"38.528088, -121.758611","38.529956, -121.751388"
1683580217,404,12,"38.529956, -121.751388","38.531332, -121.747098"
1683580218,268,8,"38.531332, -121.747098","38.532683, -121.744549"
1683580218,432,13,"38.532683, -121.744549","38.535402, -121.741005"
1683580218,561,18,"38.535402, -121.741005","38.539105, -121.736624"
1683580219,545,17,"38.539105, -121.736624","38.542667, -121.73232"
1683580219,1348,42,"38.542667, -121.73232","38.54744, -121.718258"
1683580219,1290,42,"38.54744, -121.718258","38.550683, -121.70403"
1683580219,478,15,"38.550683, -121.70403","38.551818, -121.698729"
1683580220,413,13,"38.551818, -121.698729","38.552541, -121.694078"
1683580220,301,10,"38.552541, -121.694078","38.553512, -121.690851"
1683580220,1054,35,"38.553512, -121.690851","38.556275, -121.679269"
1683580220,1053,35,"38.556275, -121.679269","38.5587, -121.667568"
1683580221,1040,34,"38.5587, -121.667568","38.56034, -121.655798"
1683580221,859,29,"38.56034, -121.655798","38.561985, -121.646148"
1683580221,443,15,"38.561985, -121.646148","38.562871, -121.641182"
1683580221,1504,51,"38.562871, -121.641182","38.565902, -121.624324"
1683580222,1630,53,"38.565902, -121.624324","38.56916, -121.60605"
1683580222,1829,58,"38.514404, -121.775788","38.528722, -121.768588"
1683580222,719,30,"38.522413, -121.767228","38.526354, -121.760764"
1683580223,722,24,"38.524849, -121.765423","38.528088, -121.758611"
1683580223,399,18,"38.528611, -121.755568","38.529956, -121.751388"
1683580223,401,31,"38.539105, -121.736624","38.540242, -121.733348"
1683580223,311,27,"38.540071, -121.733228","38.542667, -121.73232"
1683580223,335,25,"38.551818, -121.698729","38.550892, -121.695929"
1683580224,338,26,"38.551475, -121.694631","38.552541, -121.694078"
1683580224,400,24,"38.551346, -121.694255","38.553512, -121.690851"
1683580224,306,18,"38.561985, -121.646148","38.561633, -121.643027"
1683580224,226,17,"38.561638, -121.642969","38.562871, -121.641182"
1683580816,691,21,"38.509635, -121.780871","38.514404, -121.775788"
1683580817,1161,36,"38.514404, -121.775788","38.522413, -121.767228"
1683580817,988,30,"38.522413, -121.767228","38.528088, -121.758611"
1683580817,663,20,"38.528088, -121.758611","38.529956, -121.751388"
1683580817,404,12,"38.529956, -121.751388","38.531332, -121.747098"
1683580818,268,8,"38.531332, -121.747098","38.532683, -121.744549"
1683580818,432,13,"38.532683, -121.744549","38.535402, -121.741005"
1683580818,561,19,"38.535402, -121.741005","38.539105, -121.736624"
1683580819,545,17,"38.539105, -121.736624","38.542667, -121.73232"
1683580819,1348,45,"38.542667, -121.73232","38.54744, -121.718258"
1683580819,1290,43,"38.54744, -121.718258","38.550683, -121.70403"
1683580819,478,15,"38.550683, -121.70403","38.551818, -121.698729"
1683580820,413,13,"38.551818, -121.698729","38.552541, -121.694078"
1683580820,301,10,"38.552541, -121.694078","38.553512, -121.690851"
1683580820,1054,35,"38.553512, -121.690851","38.556275, -121.679269"
1683580820,1053,35,"38.556275, -121.679269","38.5587, -121.667568"
1683580821,1040,34,"38.5587, -121.667568","38.56034, -121.655798"
1683580821,859,29,"38.56034, -121.655798","38.561985, -121.646148"
1683580821,443,15,"38.561985, -121.646148","38.562871, -121.641182"
1683580821,1504,52,"38.562871, -121.641182","38.565902, -121.624324"
1683580822,1630,54,"38.565902, -121.624324","38.56916, -121.60605"
1683580822,1829,58,"38.514404, -121.775788","38.528722, -121.768588"
1683580822,719,30,"38.522413, -121.767228","38.526354, -121.760764"
1683580823,722,24,"38.524849, -121.765423","38.528088, -121.758611"
1683580823,399,18,"38.528611, -121.755568","38.529956, -121.751388"
1683580823,401,36,"38.539105, -121.736624","38.540242, -121.733348"
1683580823,311,27,"38.540071, -121.733228","38.542667, -121.73232"
1683580824,335,24,"38.551818, -121.698729","38.550892, -121.695929"
1683580824,338,29,"38.551475, -121.694631","38.552541, -121.694078"
1683580824,400,23,"38.551346, -121.694255","38.553512, -121.690851"
1683580824,306,18,"38.561985, -121.646148","38.561633, -121.643027"
1683580825,226,17,"38.561638, -121.642969","38.562871, -121.641182"
1683581416,691,22,"38.509635, -121.780871","38.514404, -121.775788"
1683581417,1161,36,"38.514404, -121.775788","38.522413, -121.767228"
1683581417,988,30,"38.522413, -121.767228","38.528088, -121.758611"
1683581417,663,21,"38.528088, -121.758611","38.529956, -121.751388"
1683581417,404,12,"38.529956, -121.751388","38.531332, -121.747098"
1683581418,268,8,"38.531332, -121.747098","38.532683, -121.744549"
1683581418,432,13,"38.532683, -121.744549","38.535402, -121.741005"
1683581418,561,18,"38.535402, -121.741005","38.539105, -121.736624"
1683581418,545,17,"38.539105, -121.736624","38.542667, -121.73232"
1683581419,1348,44,"38.542667, -121.73232","38.54744, -121.718258"
1683581419,1290,41,"38.54744, -121.718258","38.550683, -121.70403"
1683581419,478,15,"38.550683, -121.70403","38.551818, -121.698729"
1683581420,413,13,"38.551818, -121.698729","38.552541, -121.694078"
1683581420,301,10,"38.552541, -121.694078","38.553512, -121.690851"
1683581420,1054,35,"38.553512, -121.690851","38.556275, -121.679269"
1683581420,1053,35,"38.556275, -121.679269","38.5587, -121.667568"
1683581421,1040,35,"38.5587, -121.667568","38.56034, -121.655798"
1683581421,859,29,"38.56034, -121.655798","38.561985, -121.646148"
1683581421,443,15,"38.561985, -121.646148","38.562871, -121.641182"
1683581422,1504,52,"38.562871, -121.641182","38.565902, -121.624324"
1683581422,1630,54,"38.565902, -121.624324","38.56916, -121.60605"
1683581422,1829,58,"38.514404, -121.775788","38.528722, -121.768588"
1683581422,719,30,"38.522413, -121.767228","38.526354, -121.760764"
1683581422,722,24,"38.524849, -121.765423","38.528088, -121.758611"
1683581423,399,18,"38.528611, -121.755568","38.529956, -121.751388"
1683581423,401,30,"38.539105, -121.736624","38.540242, -121.733348"
1683581423,311,26,"38.540071, -121.733228","38.542667, -121.73232"
