,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l20,l21,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11
0,73.6059780952381,70.19154972972973,71.29344258064516,70.62339142857144,69.51721230769232,74.93749000000001,74.33523692307693,69.71796333333334,71.71366470588237,68.53170727272727,70.38177073170732,71.28382133333334,71.06586307692308,67.331894,71.44650787878788,67.29993771428572,68.42404705882353,66.25970551724139,66.06429466666667,65.96779921568627,67.52244814814816,68.18938766666668,50.261245625,67.29461166666667,49.58550333333334,32.03617642857143,26.757243846153848,29.974996000000004,26.071921379310346,33.13985185185185,36.02650736842105,31.5967775
1,73.6059780952381,70.19154972972973,71.29344258064516,70.62339142857144,69.51721230769232,74.93749000000001,69.02557714285714,66.04859684210527,67.72957222222223,65.55206782608697,65.58301363636363,71.28382133333334,71.06586307692308,67.331894,67.36385028571429,67.29993771428572,68.42404705882353,66.25970551724139,66.06429466666667,64.6991876923077,66.29476727272728,68.18938766666668,53.61199533333333,67.29461166666667,46.97574,32.03617642857143,26.757243846153848,26.763389285714286,27.00306142857143,35.79104,36.02650736842105,28.086024444444448
2,73.6059780952381,72.141315,76.21023172413794,70.62339142857144,75.31031333333333,74.93749000000001,80.52984000000001,69.71796333333334,71.71366470588237,68.53170727272727,61.39686382978724,71.28382133333334,54.34448352941177,61.21081272727273,54.83104093023256,63.66210324324325,62.87615135135136,61.98488580645162,61.93527625,60.07781714285715,65.11093214285715,68.18938766666668,55.460684827586206,67.29461166666667,49.58550333333334,29.900431333333337,26.757243846153848,26.763389285714286,26.071921379310346,34.414461538461545,36.02650736842105,25.277422000000005
3,73.6059780952381,70.19154972972973,71.29344258064516,70.62339142857144,69.51721230769232,74.93749000000001,69.02557714285714,66.04859684210527,64.16485789473685,65.55206782608697,70.38177073170732,66.82858250000001,71.06586307692308,67.331894,67.36385028571429,65.43049500000001,66.4690742857143,66.25970551724139,66.06429466666667,62.302921481481484,66.29476727272728,67.07152885245901,55.460684827586206,67.29461166666667,49.58550333333334,27.182210303030306,25.76623481481482,31.22395416666667,27.00306142857143,31.95628571428572,36.02650736842105,25.277422000000005
4,70.26025181818183,70.19154972972973,65.00284470588235,67.41323727272727,34.75860615384616,22.203700740740743,15.586420645161292,33.024298421052634,39.32684838709678,64.1573429787234,65.58301363636363,66.82858250000001,61.590414666666675,61.21081272727273,58.943369000000004,61.986784736842104,64.62271111111112,64.05104866666667,66.06429466666667,63.4784483018868,66.29476727272728,67.07152885245901,55.460684827586206,64.60282720000001,46.97574,24.917026111111113,25.76623481481482,31.22395416666667,24.38986193548387,33.13985185185185,36.02650736842105,24.073735238095242
5,70.26025181818183,70.19154972972973,55.252418,14.684071485148515,12.728503661971832,8.816175294117649,12.23238075949367,21.26988711864407,16.700442465753426,56.89424754716981,64.12561333333333,71.28382133333334,61.590414666666675,61.21081272727273,67.36385028571429,67.29993771428572,66.4690742857143,64.05104866666667,61.93527625,61.17014109090909,61.80020677966102,67.07152885245901,55.460684827586206,67.29461166666667,44.626953,16.92477245283019,26.757243846153848,31.22395416666667,25.202857333333338,31.95628571428572,22.816788,24.073735238095242
6,70.26025181818183,70.19154972972973,42.50186,11.96041306451613,8.291043669724772,7.588606582278481,11.107564137931035,27.280942173913044,12.07061683168317,53.846341428571435,61.39686382978724,71.28382133333334,61.590414666666675,61.21081272727273,67.36385028571429,67.29993771428572,66.4690742857143,64.05104866666667,61.93527625,61.17014109090909,65.11093214285715,67.07152885245901,57.44142357142857,64.60282720000001,44.626953,16.018088214285715,27.827533600000002,29.974996000000004,26.071921379310346,37.28233333333334,22.816788,26.607812631578952
7,70.26025181818183,70.19154972972973,26.627671325301208,10.593508714285715,7.005610542635659,7.3109746341463415,10.98134181818182,21.63660931034483,11.952277450980393,55.84065037037037,65.58301363636363,66.82858250000001,57.74101375,48.094210000000004,63.72256108108109,65.43049500000001,62.87615135135136,61.98488580645162,61.93527625,60.07781714285715,65.11093214285715,68.18938766666668,57.44142357142857,62.118103076923084,40.56995727272728,14.950215666666669,28.98701416666667,27.754625925925925,25.202857333333338,33.13985185185185,24.446558571428575,25.277422000000005
8,73.6059780952381,70.19154972972973,25.114735454545453,9.693406666666666,6.189888767123288,7.136903809523811,10.61931956043956,21.26988711864407,11.288262037037038,52.90166877192983,60.117762500000005,66.82858250000001,54.34448352941177,48.094210000000004,60.45473743589744,63.66210324324325,62.87615135135136,60.047858125000005,58.292024705882355,61.17014109090909,66.29476727272728,68.18938766666668,59.568883703703705,57.68109571428572,40.56995727272728,14.705130163934427,28.98701416666667,27.754625925925925,22.911688484848487,30.854344827586207,31.11380181818182,26.607812631578952
9,70.26025181818183,70.19154972972973,14.733978133333334,9.269320125,6.645027647058824,8.10135027027027,11.930346666666667,29.184263720930236,11.836235922330097,54.82536581818182,64.12561333333333,62.89748941176471,57.74101375,44.88792933333334,62.04565157894737,63.66210324324325,61.221515789473685,61.98488580645162,61.93527625,62.302921481481484,63.9686350877193,68.18938766666668,59.568883703703705,57.68109571428572,40.56995727272728,15.203609152542374,28.98701416666667,24.979163333333332,23.62767875,29.82586666666667,31.11380181818182,25.277422000000005
